ProblemSet,RavensProblem,Agent's Answer
Basic Problems D,Basic Problem D-01,-1
Basic Problems D,Basic Problem D-02,-1
Basic Problems D,Basic Problem D-03,-1
Basic Problems D,Basic Problem D-04,-1
Basic Problems D,Basic Problem D-05,-1
Basic Problems D,Basic Problem D-06,-1
Basic Problems D,Basic Problem D-07,-1
Basic Problems D,Basic Problem D-08,-1
Basic Problems D,Basic Problem D-09,-1
Basic Problems D,Basic Problem D-10,-1
Basic Problems D,Basic Problem D-11,-1
Basic Problems D,Basic Problem D-12,-1
Basic Problems E,Basic Problem E-01,-1
Basic Problems E,Basic Problem E-02,-1
Basic Problems E,Basic Problem E-03,-1
Basic Problems E,Basic Problem E-04,-1
Basic Problems E,Basic Problem E-05,-1
Basic Problems E,Basic Problem E-06,-1
Basic Problems E,Basic Problem E-07,-1
Basic Problems E,Basic Problem E-08,-1
Basic Problems E,Basic Problem E-09,-1
Basic Problems E,Basic Problem E-10,-1
Basic Problems E,Basic Problem E-11,-1
Basic Problems E,Basic Problem E-12,-1
Basic Problems B,Basic Problem B-01,-1
Basic Problems B,Basic Problem B-02,-1
Basic Problems B,Basic Problem B-03,-1
Basic Problems B,Basic Problem B-04,-1
Basic Problems B,Basic Problem B-05,-1
Basic Problems B,Basic Problem B-06,-1
Basic Problems B,Basic Problem B-07,-1
Basic Problems B,Basic Problem B-08,-1
Basic Problems B,Basic Problem B-09,-1
Basic Problems B,Basic Problem B-10,-1
Basic Problems B,Basic Problem B-11,-1
Basic Problems B,Basic Problem B-12,-1
Basic Problems C,Basic Problem C-01,-1
Basic Problems C,Basic Problem C-02,-1
Basic Problems C,Basic Problem C-03,-1
Basic Problems C,Basic Problem C-04,-1
Basic Problems C,Basic Problem C-05,-1
Basic Problems C,Basic Problem C-06,-1
Basic Problems C,Basic Problem C-07,-1
Basic Problems C,Basic Problem C-08,-1
Basic Problems C,Basic Problem C-09,-1
Basic Problems C,Basic Problem C-10,-1
Basic Problems C,Basic Problem C-11,-1
Basic Problems C,Basic Problem C-12,-1
