Name,Similarity_X,Similarity_Y
,,
BE,0.968330733,0.699536358
,,
BC,0.948117273,0.674937504
,,
DG,0.938391023,0.673116146
,,
DE,0.952992856,0.678060525
,,
AD,0.960486036,0.692357589
,,
AB,0.943976187,0.670746208
,,
EH,0.94983697,0.677115173
,,
EF,0.955601413,0.68130773
,,
CF,0.960224864,0.692202009
,,
GH,0.934873916,0.672375151
,,
F1,0.95546835,0.672909983
,,
F2,0.93521109,0.670600294
,,
F3,0.93461046,0.670141248
,,
F4,0.951514486,0.679584221
,,
F5,0.956272201,0.673954156
,,
F6,1,1
,,
H2,0.941911147,0.678384961
,,
H3,0.934873916,0.672375151
,,
H1,0.979268084,0.724212361
,,
H6,0.944523247,0.676360776
,,
H4,0.939994023,0.6706263
,,
H5,0.961939869,0.684802612
